name,ksads1_id,ksads2_id
su_p/y_ksads__aud__screen_001___2,578,389
su_p/y_ksads__aud__screen_001___3,578,389
su_p/y_ksads__aud__screen_001___4,578,389
su_p/y_ksads__aud__screen_001___5,578,389
su_p/y_ksads__aud__screen_001___6,578,389
su_p/y_ksads__aud__screen_001___7,578,389
su_p/y_ksads__aud__screen_001___8,578,389
su_p/y_ksads__aud__screen_001___9,578,389
su_p/y_ksads__aud__screen_001__txt,578,389
su_p/y_ksads__aud__screen_002___1,579,390
su_p/y_ksads__aud__screen_002___2,579,390
su_p/y_ksads__aud__screen_002___3,579,390
su_p/y_ksads__aud__screen_002___4,579,390
su_p/y_ksads__aud__screen_002___5,579,390
su_p/y_ksads__aud__screen_002___6,579,390
su_p/y_ksads__aud__screen__pres_001,580,391
su_p/y_ksads__aud__screen__past_001,581,392
su_p/y_ksads__aud__screen__pres_002,586,393
su_p/y_ksads__aud__screen__past_002,587,394
su_p/y_ksads__aud__screen__pres_003a__mo,589,395
su_p/y_ksads__aud__screen__pres_003b__mo,591,396
su_p/y_ksads__aud__screen__pres_003c__mo,593,398
su_p/y_ksads__aud__screen__past_003__01__mo,594,399
su_p/y_ksads__aud__screen__past_004__01__mo,595,400
su_p/y_ksads__aud__screen__past_005__01__mo,592,397
su_p/y_ksads__aud__screen__past_003,2115,1773
su_p/y_ksads__aud__screen__past_004,2116,1774
su_p/y_ksads__aud__screen__past_005,2117,1775
mh_p/y_ksads__bpd__screen__pres_001,119,116
mh_p/y_ksads__bpd__screen__past_001,120,117
mh_p/y_ksads__bpd__screen__past_001__01,121,
mh_p/y_ksads__bpd__screen__pres_002,122,118
mh_p/y_ksads__bpd__screen__pres_002__01,123,119
mh_p/y_ksads__bpd__screen__past_002,124,120
mh_p/y_ksads__bpd__screen__past_002__01,125,
mh_p/y_ksads__bpd__screen__pres_003,126,121
mh_p/y_ksads__bpd__screen__past_003,127,122
mh_p/y_ksads__bpd__screen__past_003__01,128,
mh_p/y_ksads__bpd__screen__pres_004,129,
mh_p/y_ksads__bpd__screen__past_004,130,
mh_p/y_ksads__bpd__screen__past_004__01,131,
mh_p/y_ksads__bpd__screen__pres_005a__mo,132,123
mh_p/y_ksads__bpd__screen__pres_005o__mo,146,
mh_p/y_ksads__bpd__screen__pres_005o__yr,146,
mh_p/y_ksads__bpd__screen__pres_005b__mo,133,124
mh_p/y_ksads__bpd__screen__pres_005c__mo,134,125
mh_p/y_ksads__bpd__screen__pres_005h__mo,135,
mh_p/y_ksads__bpd__screen__pres_005h__yr,135,
mh_p/y_ksads__bpd__screen__pres_005d__mo,136,126
mh_p/y_ksads__bpd__screen__pres_005e__mo,137,127
mh_p/y_ksads__bpd__screen__pres_005i__mo,138,
mh_p/y_ksads__bpd__screen__pres_005i__yr,138,
mh_p/y_ksads__bpd__screen__pres_005f__mo,139,128
mh_p/y_ksads__bpd__screen__pres_005j__mo,140,
mh_p/y_ksads__bpd__screen__pres_005j__yr,140,
mh_p/y_ksads__bpd__screen__pres_005k__mo,141,
mh_p/y_ksads__bpd__screen__pres_005k__yr,141,
mh_p/y_ksads__bpd__screen__pres_005g__mo,142,129
mh_p/y_ksads__bpd__screen__pres_005l__mo,143,
mh_p/y_ksads__bpd__screen__pres_005l__yr,143,
mh_p/y_ksads__bpd__screen__pres_005m__mo,144,
mh_p/y_ksads__bpd__screen__pres_005m__yr,144,
mh_p/y_ksads__bpd__screen__pres_005n__mo,145,
mh_p/y_ksads__bpd__screen__pres_005n__yr,145,
mh_p/y_ksads__bpd__screen__past_005a__mo,147,
mh_p/y_ksads__bpd__screen__past_005a__yr,147,
